task_id,job_id,app_name,node_name,ucb_reward,ucb_arm,user_id,task_type,offloaded,edge_id,arrival_time,finish_time,inter_arrival_ms,latency_ms,waiting_ms,proc_ms,tx_delay_ms,transit_ms,channel_rate_mbps,cycles_total,split_ratio,cycles_local,cycles_edge,local_ratio,edge_ratio,finish_time_edge
50000001,,,,0,,5,Heavy,1,0,0.833,1.6987,,865.67,,666.67,199.0,,100.0,2000000000.0,1.0,0.0,2000000000.0,0.0,1.0,1.6987
1,,,,0,,0,Heavy,1,0,1.666,2.5317,,865.67,,666.67,199.0,,100.0,2000000000.0,1.0,0.0,2000000000.0,0.0,1.0,2.5317
2,,,,0,,0,Heavy,1,0,2.5,3.3657,834.0,865.67,,666.67,199.0,,100.0,2000000000.0,1.0,0.0,2000000000.0,0.0,1.0,3.3657
50000002,,,,0,,5,Heavy,1,0,3.333,4.1987,2500.0,865.67,,666.67,199.0,,100.0,2000000000.0,1.0,0.0,2000000000.0,0.0,1.0,4.1987
20000001,,,,0,,2,Heavy,1,0,4.166,5.0317,,865.67,,666.67,199.0,,100.0,2000000000.0,1.0,0.0,2000000000.0,0.0,1.0,5.0317
10000001,,,,0,,1,Heavy,1,0,5.0,5.8657,,865.67,,666.67,199.0,,100.0,2000000000.0,1.0,0.0,2000000000.0,0.0,1.0,5.8657
10000002,,,,0,,1,Heavy,1,0,5.833,6.6987,833.0,865.67,,666.67,199.0,,100.0,2000000000.0,1.0,0.0,2000000000.0,0.0,1.0,6.6987
10000003,,,,0,,1,Heavy,1,0,6.666,7.5317,833.0,865.67,,666.67,199.0,,100.0,2000000000.0,1.0,0.0,2000000000.0,0.0,1.0,7.5317
50000003,,,,0,,5,Heavy,1,0,7.5,8.3657,4167.0,865.67,,666.67,199.0,,100.0,2000000000.0,1.0,0.0,2000000000.0,0.0,1.0,8.3657
3,,,,0,,0,Heavy,1,0,8.333,9.1987,5833.0,865.67,,666.67,199.0,,100.0,2000000000.0,1.0,0.0,2000000000.0,0.0,1.0,9.1987
50000004,,,,0,,5,Heavy,1,0,9.166,10.0317,1666.0,865.67,,666.67,199.0,,100.0,2000000000.0,1.0,0.0,2000000000.0,0.0,1.0,10.0317
50000005,,,,0,,5,Heavy,1,0,10.0,10.8657,834.0,865.67,,666.67,199.0,,100.0,2000000000.0,1.0,0.0,2000000000.0,0.0,1.0,10.8657
