sim_time,tasks_done_interval,tasks_local,tasks_offloaded,mean_lat_all_ms,mean_lat_local_ms,mean_lat_edge_ms,p95_lat_all_ms,ucb_reward_mean,ucb_reward_cumulative,ucb_regret_cumulative,total_user_qlen,total_edge_qlen,u0_qlen,u1_qlen,u2_qlen,u3_qlen,u4_qlen,u5_qlen,e0_qlen,e0_busy,e0_txbuf,e0_load,e1_qlen,e1_busy,e1_txbuf,e1_load
1.0,0,0,0,,,,,,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
2.001,1,0,1,865.67,,865.67,865.67,0.0,0.0,1.0,0,1,0,0,0,0,0,0,1,1,0,2,0,0,0,0
3.001,2,0,2,1032.17,,1032.17,1082.42,0.0,0.0,3.0,0,1,0,0,0,0,0,0,1,1,0,2,0,0,0,0
4.001,1,0,1,1198.67,,1198.67,1198.67,0.0,0.0,4.0,0,1,0,0,0,0,0,0,1,1,1,3,0,0,0,0
5.0,2,0,2,1365.67,,1365.67,1415.47,0.0,0.0,6.0,0,1,0,0,0,0,0,0,1,1,0,2,0,0,0,0
6.0,1,0,1,1532.67,,1532.67,1532.67,0.0,0.0,7.0,0,2,0,0,0,0,0,0,2,1,0,3,0,0,0,0
7.0,2,0,2,1699.17,,1699.17,1749.42,0.0,0.0,9.0,0,2,0,0,0,0,0,0,2,1,0,3,0,0,0,0
8.0,1,0,1,1865.67,,1865.67,1865.67,0.0,0.0,10.0,0,3,0,0,0,0,0,0,3,1,0,4,0,0,0,0
9.0,2,0,2,2032.17,,2032.17,2082.42,0.0,0.0,12.0,0,2,0,0,0,0,0,0,2,1,1,4,0,0,0,0
10.001,1,0,1,2198.67,,2198.67,2198.67,0.0,0.0,13.0,0,3,0,0,0,0,0,0,3,1,1,5,0,0,0,0
11.001,2,0,2,2365.67,,2365.67,2415.47,0.0,0.0,15.0,0,3,0,0,0,0,0,0,3,1,0,4,0,0,0,0
12.001,1,0,1,2532.67,,2532.67,2532.67,0.0,0.0,16.0,0,4,0,0,0,0,0,0,4,1,0,5,0,0,0,0
13.001,2,0,2,2699.17,,2699.17,2749.42,0.0,0.0,18.0,0,4,0,0,0,0,0,0,4,1,0,5,0,0,0,0
14.001,1,0,1,2865.67,,2865.67,2865.67,0.0,0.0,19.0,0,4,0,0,0,0,0,0,4,1,1,6,0,0,0,0
15.001,2,0,2,3032.17,,3032.17,3082.42,0.0,0.0,21.0,0,4,0,0,0,0,0,0,4,1,1,6,0,0,0,0
16.001,1,0,1,3198.67,,3198.67,3198.67,0.0,0.0,22.0,0,5,0,0,0,0,0,0,5,1,0,6,0,0,0,0
17.001,2,0,2,3365.67,,3365.67,3415.47,0.0,0.0,24.0,0,5,0,0,0,0,0,0,5,1,0,6,0,0,0,0
18.001,1,0,1,3532.67,,3532.67,3532.67,0.0,0.0,25.0,0,6,0,0,0,0,0,0,6,1,0,7,0,0,0,0
19.0,2,0,2,3699.17,,3699.17,3749.42,0.0,0.0,27.0,0,5,0,0,0,0,0,0,5,1,1,7,0,0,0,0
20.0,1,0,1,3865.67,,3865.67,3865.67,0.0,0.0,28.0,0,6,0,0,0,0,0,0,6,1,0,7,0,0,0,0
21.0,2,0,2,4032.17,,4032.17,4082.42,0.0,0.0,30.0,0,6,0,0,0,0,0,0,6,1,0,7,0,0,0,0
22.0,1,0,1,4198.67,,4198.67,4198.67,0.0,0.0,31.0,0,7,0,0,0,0,0,0,7,1,0,8,0,0,0,0
23.0,2,0,2,4365.67,,4365.67,4415.47,0.0,0.0,33.0,0,7,0,0,0,0,0,0,7,1,0,8,0,0,0,0
24.0,1,0,1,4532.67,,4532.67,4532.67,0.0,0.0,34.0,0,7,0,0,0,0,0,0,7,1,1,9,0,0,0,0
25.0,2,0,2,4699.17,,4699.17,4749.42,0.0,0.0,36.0,0,7,0,0,0,0,0,0,7,1,0,8,0,0,0,0
26.0,1,0,1,4865.67,,4865.67,4865.67,0.0,0.0,37.0,0,8,0,0,0,0,0,0,8,1,0,9,0,0,0,0
27.0,2,0,2,5032.17,,5032.17,5082.42,0.0,0.0,39.0,0,8,0,0,0,0,0,0,8,1,0,9,0,0,0,0
28.0,1,0,1,5198.67,,5198.67,5198.67,0.0,0.0,40.0,0,9,0,0,0,0,0,0,9,1,0,10,0,0,0,0
29.0,2,0,2,5365.67,,5365.67,5415.47,0.0,0.0,42.0,0,8,0,0,0,0,0,0,8,1,1,10,0,0,0,0
30.0,1,0,1,5532.67,,5532.67,5532.67,0.0,0.0,43.0,0,9,0,0,0,0,0,0,9,1,0,10,0,0,0,0
31.0,2,0,2,5699.17,,5699.17,5749.42,0.0,0.0,45.0,0,9,0,0,0,0,0,0,9,1,0,10,0,0,0,0
32.0,1,0,1,5865.67,,5865.67,5865.67,0.0,0.0,46.0,0,10,0,0,0,0,0,0,10,1,0,11,0,0,0,0
33.0,2,0,2,6032.17,,6032.17,6082.42,0.0,0.0,48.0,0,10,0,0,0,0,0,0,10,1,0,11,0,0,0,0
34.0,1,0,1,6198.67,,6198.67,6198.67,0.0,0.0,49.0,0,10,0,0,0,0,0,0,10,1,1,12,0,0,0,0
35.0,2,0,2,6365.67,,6365.67,6415.47,0.0,0.0,51.0,0,10,0,0,0,0,0,0,10,1,0,11,0,0,0,0
36.0,1,0,1,6532.67,,6532.67,6532.67,0.0,0.0,52.0,0,11,0,0,0,0,0,0,11,1,0,12,0,0,0,0
37.0,2,0,2,6699.17,,6699.17,6749.42,0.0,0.0,54.0,0,11,0,0,0,0,0,0,11,1,0,12,0,0,0,0
