task_id,job_id,app_name,node_name,ucb_reward,ucb_arm,user_id,task_type,offloaded,edge_id,arrival_time,finish_time,inter_arrival_ms,latency_ms,waiting_ms,proc_ms,tx_delay_ms,transit_ms,channel_rate_mbps,cycles_total,split_ratio,cycles_local,cycles_edge,local_ratio,edge_ratio,finish_time_edge
50000001,,,,0,,5,Heavy,1,0,0.111,1.0997,,988.67,,666.67,322.0,,100.0,2000000000.0,1.0,0.0,2000000000.0,0.0,1.0,1.0997
1,,,,0,,0,Heavy,1,0,0.222,1.7663,,1544.33,,667.33,668.0,,100.0,2000000000.0,1.0,0.0,2000000000.0,0.0,1.0,1.7663
2,,,,0,,0,Heavy,1,0,0.333,2.433,111.0,2100.0,,667.0,957.0,,100.0,2000000000.0,1.0,0.0,2000000000.0,0.0,1.0,2.433
50000002,,,,0,,5,Heavy,1,0,0.444,3.0997,333.0,2655.67,,666.67,1219.0,,100.0,2000000000.0,1.0,0.0,2000000000.0,0.0,1.0,3.0997
20000001,,,,0,,2,Heavy,1,0,0.555,3.7663,,3211.33,,667.33,1569.0,,100.0,2000000000.0,1.0,0.0,2000000000.0,0.0,1.0,3.7663
10000001,,,,0,,1,Heavy,1,0,0.666,4.433,,3767.0,,667.0,1887.0,,100.0,2000000000.0,1.0,0.0,2000000000.0,0.0,1.0,4.433
10000002,,,,0,,1,Heavy,1,0,0.777,5.0997,111.0,4322.67,,666.67,2182.0,,100.0,2000000000.0,1.0,0.0,2000000000.0,0.0,1.0,5.0997
10000003,,,,0,,1,Heavy,1,0,0.888,5.7663,111.0,4878.33,,667.33,2456.0,,100.0,2000000000.0,1.0,0.0,2000000000.0,0.0,1.0,5.7663
50000003,,,,0,,5,Heavy,1,0,0.999,6.433,555.0,5434.0,,667.0,2778.0,,100.0,2000000000.0,1.0,0.0,2000000000.0,0.0,1.0,6.433
3,,,,0,,0,Heavy,1,0,1.111,7.0997,778.0,5988.67,,666.67,3088.0,,100.0,2000000000.0,1.0,0.0,2000000000.0,0.0,1.0,7.0997
