sim_time,tasks_done_interval,tasks_local,tasks_offloaded,mean_lat_all_ms,mean_lat_local_ms,mean_lat_edge_ms,p95_lat_all_ms,ucb_reward_mean,ucb_reward_cumulative,ucb_regret_cumulative,total_user_qlen,total_edge_qlen,u0_qlen,u1_qlen,u2_qlen,u3_qlen,u4_qlen,u5_qlen,e0_qlen,e0_busy,e0_txbuf,e0_load,e1_qlen,e1_busy,e1_txbuf,e1_load
1.0,0,0,0,,,,,,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.001,0,0,0,,,,,,0.0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3.001,1,1,0,2000.0,2000.0,,2000.0,0.0,0.0,1.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4.001,1,1,0,2000.0,2000.0,,2000.0,0.0,0.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.0,1,1,0,2125.0,2125.0,,2125.0,0.0,0.0,3.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6.0,3,3,0,2458.33,2458.33,,3237.5,0.0,0.0,6.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7.0,0,0,0,,,,,,0.0,6.0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
8.0,2,2,0,2687.5,2687.5,,3306.25,0.0,0.0,8.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
9.0,1,1,0,2000.0,2000.0,,2000.0,0.0,0.0,9.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
10.001,2,2,0,3750.0,3750.0,,4650.0,0.0,0.0,11.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
11.001,2,2,0,2000.0,2000.0,,2000.0,0.0,0.0,13.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.001,2,2,0,3062.5,3062.5,,4018.75,0.0,0.0,15.0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
13.001,2,2,0,2437.5,2437.5,,2718.75,0.0,0.0,17.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
14.001,0,0,0,,,,,,0.0,17.0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
15.001,2,2,0,2750.0,2750.0,,3425.0,0.0,0.0,19.0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
16.001,1,1,0,2000.0,2000.0,,2000.0,0.0,0.0,20.0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
17.001,2,2,0,4125.0,4125.0,,4800.0,0.0,0.0,22.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
18.001,1,1,0,3375.0,3375.0,,3375.0,0.0,0.0,23.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
19.0,3,3,0,2666.67,2666.67,,3600.0,0.0,0.0,26.0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
20.0,1,1,0,4125.0,4125.0,,4125.0,0.0,0.0,27.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
21.0,1,1,0,3375.0,3375.0,,3375.0,0.0,0.0,28.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
22.0,3,3,0,2333.33,2333.33,,2900.0,0.0,0.0,31.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23.0,1,1,0,4750.0,4750.0,,4750.0,0.0,0.0,32.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24.0,3,3,0,2416.67,2416.67,,2725.0,0.0,0.0,35.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25.0,1,1,0,2000.0,2000.0,,2000.0,0.0,0.0,36.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26.0,2,2,0,2000.0,2000.0,,2000.0,0.0,0.0,38.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
27.0,2,2,0,2000.0,2000.0,,2000.0,0.0,0.0,40.0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
28.0,0,0,0,,,,,,0.0,40.0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
29.0,2,2,0,2687.5,2687.5,,3306.25,0.0,0.0,42.0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
30.0,0,0,0,,,,,,0.0,42.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
31.0,3,3,0,2958.33,2958.33,,3487.5,0.0,0.0,45.0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
32.0,1,1,0,2000.0,2000.0,,2000.0,0.0,0.0,46.0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
33.0,2,2,0,2875.0,2875.0,,3325.0,0.0,0.0,48.0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
34.0,1,1,0,2000.0,2000.0,,2000.0,0.0,0.0,49.0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
35.0,2,2,0,3937.5,3937.5,,4106.25,0.0,0.0,51.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
36.0,1,1,0,2000.0,2000.0,,2000.0,0.0,0.0,52.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
37.0,4,4,0,2875.0,2875.0,,4275.0,0.0,0.0,56.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
38.0,0,0,0,,,,,,0.0,56.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
39.001,2,2,0,2312.5,2312.5,,2481.25,0.0,0.0,58.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40.001,1,1,0,2000.0,2000.0,,2000.0,0.0,0.0,59.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
41.001,3,3,0,2416.67,2416.67,,3125.0,0.0,0.0,62.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
42.001,1,1,0,2125.0,2125.0,,2125.0,0.0,0.0,63.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43.001,1,1,0,2125.0,2125.0,,2125.0,0.0,0.0,64.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44.001,3,3,0,2291.67,2291.67,,2787.5,0.0,0.0,67.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
45.001,1,1,0,2000.0,2000.0,,2000.0,0.0,0.0,68.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46.001,1,1,0,2125.0,2125.0,,2125.0,0.0,0.0,69.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
47.001,3,3,0,2458.33,2458.33,,3237.5,0.0,0.0,72.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
48.001,0,0,0,,,,,,0.0,72.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
49.001,2,2,0,2500.0,2500.0,,2837.5,0.0,0.0,74.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
50.001,1,1,0,2000.0,2000.0,,2000.0,0.0,0.0,75.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
51.001,2,2,0,2812.5,2812.5,,3543.75,0.0,0.0,77.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52.001,2,2,0,2375.0,2375.0,,2712.5,0.0,0.0,79.0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
53.001,2,2,0,2062.5,2062.5,,2118.75,0.0,0.0,81.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
54.001,0,0,0,,,,,,0.0,81.0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
55.001,2,2,0,2500.0,2500.0,,2837.5,0.0,0.0,83.0,3,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0
56.001,1,1,0,2000.0,2000.0,,2000.0,0.0,0.0,84.0,3,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0
