task_id,job_id,app_name,node_name,ucb_reward,ucb_arm,user_id,task_type,offloaded,edge_id,arrival_time,finish_time,inter_arrival_ms,latency_ms,waiting_ms,proc_ms,tx_delay_ms,transit_ms,channel_rate_mbps,cycles_total,split_ratio,cycles_local,cycles_edge,local_ratio,edge_ratio,finish_time_edge
50000001,,,,0,,5,Heavy,0,-1,0.555,2.555,,2000.0,0.0,2000.0,0.0,0.0,,2000000000.0,0.0,2000000000.0,0.0,1.0,0.0,
1,,,,0,,0,Heavy,0,-1,1.111,3.111,,2000.0,0.0,2000.0,0.0,0.0,,2000000000.0,0.0,2000000000.0,0.0,1.0,0.0,
50000002,,,,0,,5,Heavy,0,-1,2.222,4.555,1667.0,2333.0,333.0,2000.0,0.0,0.0,,2000000000.0,0.0,2000000000.0,0.0,1.0,0.0,
20000001,,,,0,,2,Heavy,0,-1,2.777,4.777,,2000.0,0.0,2000.0,0.0,0.0,,2000000000.0,0.0,2000000000.0,0.0,1.0,0.0,
2,,,,0,,0,Heavy,0,-1,1.666,5.111,555.0,3445.0,1445.0,2000.0,0.0,0.0,,2000000000.0,0.0,2000000000.0,0.0,1.0,0.0,
10000001,,,,0,,1,Heavy,0,-1,3.333,5.333,,2000.0,0.0,2000.0,0.0,0.0,,2000000000.0,0.0,2000000000.0,0.0,1.0,0.0,
50000003,,,,0,,5,Heavy,0,-1,4.999,6.999,2777.0,2000.0,0.0,2000.0,0.0,0.0,,2000000000.0,0.0,2000000000.0,0.0,1.0,0.0,
10000002,,,,0,,1,Heavy,0,-1,3.888,7.333,555.0,3445.0,1445.0,2000.0,0.0,0.0,,2000000000.0,0.0,2000000000.0,0.0,1.0,0.0,
3,,,,0,,0,Heavy,0,-1,5.555,7.555,3889.0,2000.0,0.0,2000.0,0.0,0.0,,2000000000.0,0.0,2000000000.0,0.0,1.0,0.0,
50000004,,,,0,,5,Heavy,0,-1,6.111,8.999,1112.0,2888.0,888.0,2000.0,0.0,0.0,,2000000000.0,0.0,2000000000.0,0.0,1.0,0.0,
40000001,,,,0,,4,Heavy,0,-1,7.222,9.222,,2000.0,0.0,2000.0,0.0,0.0,,2000000000.0,0.0,2000000000.0,0.0,1.0,0.0,
10000003,,,,0,,1,Heavy,0,-1,4.444,9.333,556.0,4889.0,2889.0,2000.0,0.0,0.0,,2000000000.0,0.0,2000000000.0,0.0,1.0,0.0,
4,,,,0,,0,Heavy,0,-1,7.777,9.777,2222.0,2000.0,0.0,2000.0,0.0,0.0,,2000000000.0,0.0,2000000000.0,0.0,1.0,0.0,
30000001,,,,0,,3,Heavy,0,-1,8.888,10.888,,2000.0,0.0,2000.0,0.0,0.0,,2000000000.0,0.0,2000000000.0,0.0,1.0,0.0,
50000005,,,,0,,5,Heavy,0,-1,6.666,10.999,555.0,4333.0,2333.0,2000.0,0.0,0.0,,2000000000.0,0.0,2000000000.0,0.0,1.0,0.0,
40000002,,,,0,,4,Heavy,0,-1,8.333,11.222,1111.0,2889.0,889.0,2000.0,0.0,0.0,,2000000000.0,0.0,2000000000.0,0.0,1.0,0.0,
5,,,,0,,0,Heavy,0,-1,9.444,11.777,1667.0,2333.0,333.0,2000.0,0.0,0.0,,2000000000.0,0.0,2000000000.0,0.0,1.0,0.0,
10000004,,,,0,,1,Heavy,0,-1,11.111,13.111,6667.0,2000.0,0.0,2000.0,0.0,0.0,,2000000000.0,0.0,2000000000.0,0.0,1.0,0.0,
6,,,,0,,0,Heavy,0,-1,9.999,13.777,555.0,3778.0,1778.0,2000.0,0.0,0.0,,2000000000.0,0.0,2000000000.0,0.0,1.0,0.0,
40000003,,,,0,,4,Heavy,0,-1,12.222,14.222,3889.0,2000.0,0.0,2000.0,0.0,0.0,,2000000000.0,0.0,2000000000.0,0.0,1.0,0.0,
10000005,,,,0,,1,Heavy,0,-1,11.666,15.111,555.0,3445.0,1445.0,2000.0,0.0,0.0,,2000000000.0,0.0,2000000000.0,0.0,1.0,0.0,
7,,,,0,,0,Heavy,0,-1,10.555,15.777,556.0,5222.0,3222.0,2000.0,0.0,0.0,,2000000000.0,0.0,2000000000.0,0.0,1.0,0.0,
40000004,,,,0,,4,Heavy,0,-1,12.777,16.222,555.0,3445.0,1445.0,2000.0,0.0,0.0,,2000000000.0,0.0,2000000000.0,0.0,1.0,0.0,
