sim_time,tasks_done_interval,tasks_local,tasks_offloaded,mean_lat_all_ms,mean_lat_local_ms,mean_lat_edge_ms,p95_lat_all_ms,ucb_reward_mean,ucb_reward_cumulative,ucb_regret_cumulative,total_user_qlen,total_edge_qlen,u0_qlen,u1_qlen,u2_qlen,u3_qlen,u4_qlen,u5_qlen,e0_qlen,e0_busy,e0_txbuf,e0_load,e1_qlen,e1_busy,e1_txbuf,e1_load
1.0,0,0,0,,,,,,0.0,0.0,4,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0
2.001,0,0,0,,,,,,0.0,0.0,12,0,5,2,0,0,1,4,0,0,0,0,0,0,0,0
3.001,4,4,0,2000.0,2000.0,,2000.0,0.0,0.0,4.0,18,0,6,4,0,0,4,4,0,0,0,0,0,0,0,0
4.001,2,2,0,2000.0,2000.0,,2000.0,0.0,0.0,6.0,24,0,7,5,0,1,5,6,0,0,0,0,0,0,0,0
5.0,3,3,0,3815.0,3815.0,,3889.0,0.0,0.0,9.0,29,0,6,7,3,2,5,6,0,0,0,0,0,0,0,0
6.0,3,3,0,2703.67,2703.67,,3633.5,0.0,0.0,12.0,35,0,10,7,5,2,5,6,0,0,0,0,0,0,0,0
7.0,3,3,0,5333.67,5333.67,,5711.4,0.0,0.0,15.0,41,0,11,6,6,4,7,7,0,0,0,0,0,0,0,0
8.0,3,3,0,4185.0,4185.0,,4911.1,0.0,0.0,18.0,47,0,13,8,6,3,8,9,0,0,0,0,0,0,0,0
9.0,3,3,0,6666.67,6666.67,,6866.8,0.0,0.0,21.0,53,0,14,8,9,5,8,9,0,0,0,0,0,0,0,0
10.001,3,3,0,5888.67,5888.67,,6744.5,0.0,0.0,24.0,60,0,15,10,11,4,7,13,0,0,0,0,0,0,0,0
11.001,3,3,0,8481.67,8481.67,,8733.6,0.0,0.0,27.0,66,0,14,12,11,6,9,14,0,0,0,0,0,0,0,0
12.001,3,3,0,7407.33,7407.33,,8500.3,0.0,0.0,30.0,72,0,15,14,12,5,9,17,0,0,0,0,0,0,0,0
13.001,3,3,0,9704.33,9704.33,,10178.5,0.0,0.0,33.0,78,0,16,14,15,6,10,17,0,0,0,0,0,0,0,0
14.001,3,3,0,8740.33,8740.33,,9944.3,0.0,0.0,36.0,84,0,16,17,15,8,9,19,0,0,0,0,0,0,0,0
15.001,3,3,0,11407.33,11407.33,,12011.0,0.0,0.0,39.0,90,0,15,17,16,9,13,20,0,0,0,0,0,0,0,0
16.001,3,3,0,10444.33,10444.33,,11533.6,0.0,0.0,42.0,96,0,18,19,16,10,13,20,0,0,0,0,0,0,0,0
17.001,3,3,0,13000.0,13000.0,,13489.3,0.0,0.0,45.0,102,0,18,20,16,13,14,21,0,0,0,0,0,0,0,0
18.001,3,3,0,11074.0,11074.0,,12077.7,0.0,0.0,48.0,108,0,20,20,16,13,16,23,0,0,0,0,0,0,0,0
19.0,3,3,0,14037.33,14037.33,,14200.7,0.0,0.0,51.0,113,0,20,19,19,14,17,24,0,0,0,0,0,0,0,0
20.0,3,3,0,12481.33,12481.33,,13210.9,0.0,0.0,54.0,119,0,21,21,19,14,18,26,0,0,0,0,0,0,0,0
21.0,3,3,0,15074.67,15074.67,,15822.4,0.0,0.0,57.0,125,0,21,22,21,14,20,27,0,0,0,0,0,0,0,0
22.0,3,3,0,13481.33,13481.33,,14777.9,0.0,0.0,60.0,131,0,24,23,21,14,22,27,0,0,0,0,0,0,0,0
23.0,3,3,0,15889.0,15889.0,,16933.2,0.0,0.0,63.0,137,0,26,24,23,14,23,27,0,0,0,0,0,0,0,0
24.0,3,3,0,15037.33,15037.33,,16389.4,0.0,0.0,66.0,143,0,27,27,22,15,24,28,0,0,0,0,0,0,0,0
25.0,3,3,0,17444.67,17444.67,,18677.9,0.0,0.0,69.0,149,0,26,28,23,16,27,29,0,0,0,0,0,0,0,0
26.0,3,3,0,16333.0,16333.0,,18133.1,0.0,0.0,72.0,155,0,26,28,24,18,27,32,0,0,0,0,0,0,0,0
27.0,3,3,0,19037.33,19037.33,,20145.0,0.0,0.0,75.0,161,0,28,30,25,18,29,31,0,0,0,0,0,0,0,0
28.0,3,3,0,16925.67,16925.67,,18833.3,0.0,0.0,78.0,167,0,32,32,24,17,29,33,0,0,0,0,0,0,0,0
29.0,3,3,0,20296.67,20296.67,,21666.8,0.0,0.0,81.0,173,0,33,33,26,18,30,33,0,0,0,0,0,0,0,0
30.0,3,3,0,18703.33,18703.33,,20599.3,0.0,0.0,84.0,179,0,33,35,25,20,32,34,0,0,0,0,0,0,0,0
31.0,3,3,0,21889.0,21889.0,,23433.6,0.0,0.0,87.0,185,0,34,35,26,24,32,34,0,0,0,0,0,0,0,0
32.0,3,3,0,20259.0,20259.0,,22399.4,0.0,0.0,90.0,191,0,37,35,25,24,31,39,0,0,0,0,0,0,0,0
33.0,3,3,0,23148.33,23148.33,,24444.8,0.0,0.0,93.0,197,0,37,38,26,26,32,38,0,0,0,0,0,0,0,0
34.0,3,3,0,21296.33,21296.33,,23966.4,0.0,0.0,96.0,203,0,40,40,26,27,32,38,0,0,0,0,0,0,0,0
35.0,3,3,0,24963.33,24963.33,,26333.8,0.0,0.0,99.0,209,0,41,41,26,30,33,38,0,0,0,0,0,0,0,0
36.0,3,3,0,22184.67,22184.67,,24410.4,0.0,0.0,102.0,215,0,43,43,26,33,32,38,0,0,0,0,0,0,0,0
37.0,3,3,0,26741.0,26741.0,,27922.2,0.0,0.0,105.0,221,0,42,43,27,35,33,41,0,0,0,0,0,0,0,0
38.0,3,3,0,23740.67,23740.67,,25799.9,0.0,0.0,108.0,227,0,44,45,27,34,34,43,0,0,0,0,0,0,0,0
39.001,3,3,0,28296.33,28296.33,,29689.0,0.0,0.0,111.0,234,0,46,45,28,35,38,42,0,0,0,0,0,0,0,0
40.001,3,3,0,25185.0,25185.0,,27366.1,0.0,0.0,114.0,240,0,50,47,27,35,38,43,0,0,0,0,0,0,0,0
41.001,3,3,0,29482.0,29482.0,,30156.3,0.0,0.0,117.0,246,0,51,47,27,36,42,43,0,0,0,0,0,0,0,0
42.001,3,3,0,26926.0,26926.0,,29144.1,0.0,0.0,120.0,252,0,51,48,29,35,44,45,0,0,0,0,0,0,0,0
43.001,3,3,0,30407.67,30407.67,,30833.5,0.0,0.0,123.0,258,0,50,49,32,37,44,46,0,0,0,0,0,0,0,0
44.001,3,3,0,28518.67,28518.67,,30589.0,0.0,0.0,126.0,264,0,54,50,31,37,46,46,0,0,0,0,0,0,0,0
45.001,3,3,0,32148.0,32148.0,,32711.3,0.0,0.0,129.0,270,0,54,52,35,37,47,45,0,0,0,0,0,0,0,0
46.001,3,3,0,29777.67,29777.67,,31677.8,0.0,0.0,132.0,276,0,55,52,35,37,49,48,0,0,0,0,0,0,0,0
47.001,3,3,0,33667.0,33667.0,,34367.2,0.0,0.0,135.0,282,0,57,52,37,37,50,49,0,0,0,0,0,0,0,0
48.001,3,3,0,30851.67,30851.67,,33033.0,0.0,0.0,138.0,288,0,57,55,39,36,51,50,0,0,0,0,0,0,0,0
49.001,3,3,0,34111.67,34111.67,,35167.4,0.0,0.0,141.0,294,0,58,54,41,37,52,52,0,0,0,0,0,0,0,0
50.001,3,3,0,32481.0,32481.0,,34410.5,0.0,0.0,144.0,300,0,60,56,43,37,51,53,0,0,0,0,0,0,0,0
51.001,3,3,0,35926.0,35926.0,,36855.6,0.0,0.0,147.0,306,0,62,55,43,39,53,54,0,0,0,0,0,0,0,0
52.001,3,3,0,32814.67,32814.67,,34388.5,0.0,0.0,150.0,312,0,63,57,43,39,55,55,0,0,0,0,0,0,0,0
53.001,3,3,0,37370.67,37370.67,,38433.7,0.0,0.0,153.0,318,0,64,59,46,39,55,55,0,0,0,0,0,0,0,0
54.001,3,3,0,33851.67,33851.67,,35521.7,0.0,0.0,156.0,324,0,65,61,46,39,56,57,0,0,0,0,0,0,0,0
55.001,3,3,0,38852.0,38852.0,,39822.3,0.0,0.0,159.0,330,0,65,63,47,41,56,58,0,0,0,0,0,0,0,0
56.001,3,3,0,35074.0,35074.0,,37177.5,0.0,0.0,162.0,336,0,67,65,47,42,55,60,0,0,0,0,0,0,0,0
57.001,3,3,0,40185.33,40185.33,,41356.0,0.0,0.0,165.0,342,0,67,68,49,43,55,60,0,0,0,0,0,0,0,0
58.001,3,3,0,36703.67,36703.67,,38955.5,0.0,0.0,168.0,348,0,68,69,52,43,55,61,0,0,0,0,0,0,0,0
59.001,3,3,0,41481.67,41481.67,,42288.6,0.0,0.0,171.0,354,0,69,69,54,44,57,61,0,0,0,0,0,0,0,0
60.001,3,3,0,37962.67,37962.67,,40199.7,0.0,0.0,174.0,360,0,71,69,56,45,57,62,0,0,0,0,0,0,0,0
